Iteration,Cost,Sequence
0,43,1 2 3 5 4 6
1,36,1 2 6 5 4 3
2,36,1 2 6 5 4 3
3,36,1 2 6 5 4 3
4,29,1 2 6 5 3 4
5,29,1 2 6 5 3 4
6,29,1 2 6 5 3 4
7,29,1 2 6 5 3 4
8,29,1 2 6 5 3 4
9,29,1 2 6 5 3 4
10,29,1 2 6 5 3 4
11,29,1 2 6 5 3 4
12,29,1 2 6 5 3 4
13,29,1 2 6 5 3 4
14,29,1 2 6 5 3 4
15,29,1 2 6 5 3 4
16,29,1 2 6 5 3 4
17,29,2 1 6 5 3 4
18,29,2 1 6 5 3 4
19,29,2 1 6 5 3 4
20,29,2 1 6 5 3 4
21,29,2 1 6 5 3 4
22,29,2 1 6 5 3 4
23,29,2 1 6 5 3 4
24,29,2 1 6 5 3 4
25,29,2 1 6 5 3 4
26,29,2 1 6 5 3 4
27,29,2 1 6 5 3 4
28,29,2 1 6 5 3 4
29,29,2 1 6 5 3 4
30,29,2 1 6 5 3 4
31,29,2 1 6 5 3 4
32,29,2 1 6 5 3 4
33,29,2 1 6 5 3 4
34,29,2 1 6 5 3 4
35,29,2 1 6 5 3 4
36,29,2 1 6 5 3 4
37,29,2 1 6 5 3 4
38,29,2 1 6 5 3 4
39,29,2 1 6 5 3 4
40,29,2 1 6 5 3 4
41,29,2 1 6 5 3 4
42,29,1 2 6 5 3 4
43,29,1 2 6 5 3 4
44,29,1 2 6 5 3 4
45,29,2 1 6 5 3 4
46,29,2 1 6 5 3 4
47,29,2 1 6 5 3 4
48,29,2 1 6 5 3 4
49,29,2 1 6 5 3 4
50,29,2 1 6 5 3 4
51,29,2 1 6 5 3 4
52,29,2 1 6 5 3 4
53,29,2 1 6 5 3 4
54,29,2 1 6 5 3 4
55,29,2 1 6 5 3 4
56,29,2 1 6 5 3 4
57,29,2 1 6 5 3 4
58,29,2 1 6 5 3 4
59,29,1 2 6 5 3 4
